capacityExceeded	temperature	humidity	precipitation
false	16	0.14	true
true	14	0.60	false
true	1	0.15	true
false	2147483647	0	false
true	16	0	false
false	15	16	false
false	16	0.60	true
false	1	-1.7976931348623158E308	false
true	-2147483648	-1.7976931348623158E308	true
false	36	0.61	true
true	36	0	true
true	35	-1.7976931348623157E308 -1.7976931348623156E308	false
false	34	1.7976931348623157E308	true
true	2147483647	0.14	false
false	-2147483649	1.7976931348623156E308	false
true	2147483648	0.60	true
false	35	-1.7976931348623158E308	true
true	-2147483649	16	true
true	36	1.7976931348623157E308	false
true	1	16	true
true	2147483647	0.60	true
true	-2147483648	0.61	false
false	-1	-1.7976931348623157E308 -1.7976931348623156E308	true
true	15	0.14	true
true	2147483647	0.59	false
false	16	0.59	true
true	34	-1.7976931348623157E308 -1.7976931348623156E308	false
false	15	0.59	false
false	16	0.15	false
true	2147483647	-1.7976931348623158E308	true
false	0	0	false
true	16	16	true
false	35	0.15	false
false	2147483648	-1.7976931348623158E308	false
true	36	1.7976931348623156E308	true
true	34	0.60	false
true	15	-1.7976931348623158E308	false
false	-2147483648	16	false
true	-2147483648	0.14	false
false	2147483646	-1.7976931348623158E308	true
true	15	0.61	false
false	14	1.7976931348623157E308	true
false	15	1.7976931348623156E308	false
false	14	-1.7976931348623157E308 -1.7976931348623156E308	true
true	-2147483649	-1.7976931348623157E308 -1.7976931348623156E308	true
true	-2147483649	-1.7976931348623158E308	false
false	35	0.59	false
true	14	16	false
true	1	-1.7976931348623157E308 -1.7976931348623156E308	true
true	-1	-1.7976931348623158E308	false
false	36	-1.7976931348623157E308 -1.7976931348623156E308	true
false	-2147483648	-1.7976931348623157E308 -1.7976931348623156E308	false
false	36	16	false
true	34	-1.7976931348623158E308	false
true	14	-1.7976931348623158E308	true
true	1	0.60	false
false	1	0.59	true
true	35	0.14	false
false	-2147483647	0.61	false
false	-2147483649	0.61	true
false	36	0.60	false
false	2147483648	16	true
true	1	1.7976931348623157E308	true
true	16	-1.7976931348623157E308 -1.7976931348623156E308	false
true	0	0.14	true
true	34	0	false
true	0	-1.7976931348623157E308 -1.7976931348623156E308	true
true	35	1.7976931348623157E308	false
true	-1	1.7976931348623156E308	true
true	2147483647	16	false
false	0	0.61	true
false	2147483647	1.7976931348623157E308	false
false	-2147483649	0.15	true
true	-2147483647	1.7976931348623157E308	true
true	2147483646	0.14	false
false	2147483648	-1.7976931348623157E308 -1.7976931348623156E308	true
true	-2147483648	0.59	false
false	34	16	true
false	-2147483648	1.7976931348623157E308	true
true	1	-1.7976931348623158E308	false
true	0	0.60	true
false	0	-1.7976931348623158E308	false
false	2147483646	0.60	false
false	35	0.61	false
false	0	16	true
true	-2147483648	1.7976931348623156E308	true
false	-2147483647	-1.7976931348623158E308	true
false	2147483646	16	true
false	0	-1.7976931348623158E308	true
true	16	0.61	false
false	1	0	false
true	0	1.7976931348623156E308	false
true	-2147483647	-1.7976931348623158E308	true
false	-2147483647	-1.7976931348623157E308 -1.7976931348623156E308	true
false	-1	0.61	true
false	36	0.15	true
true	-2147483647	0.60	true
true	1	0.14	false
true	-2147483648	0	true
true	-1	0	true
false	-1	16	true
false	14	0.61	true
false	2147483648	0.14	true
true	15	1.7976931348623157E308	false
true	14	0.14	true
false	0	0.15	true
false	14	0.15	false
false	34	0.15	true
true	1	1.7976931348623156E308	false
true	2147483648	1.7976931348623157E308	false
true	36	0.59	false
true	34	0.61	true
false	2147483647	1.7976931348623156E308	false
false	15	0.15	true
false	2147483646	1.7976931348623156E308	true
false	-2147483649	0.60	false
true	2147483646	0	false
false	-2147483647	0.59	true
true	15	-1.7976931348623158E308	true
false	-1	0.14	true
true	2147483647	-1.7976931348623158E308	true
true	2147483647	0.61	false
false	-2147483647	1.7976931348623156E308	true
true	2147483647	-1.7976931348623157E308 -1.7976931348623156E308	true
true	36	-1.7976931348623158E308	true
false	35	-1.7976931348623158E308	true
false	2147483648	0.15	false
true	35	0.60	false
true	16	1.7976931348623157E308	false
true	-2147483648	-1.7976931348623158E308	false
false	-1	1.7976931348623157E308	false
true	2147483646	0.61	false
true	15	-1.7976931348623157E308 -1.7976931348623156E308	true
false	36	0.14	true
false	2147483648	1.7976931348623156E308	false
false	-2147483647	0.14	true
true	-2147483647	16	false
true	2147483648	0.59	true
false	14	0	true
true	2147483646	1.7976931348623157E308	false
true	2147483647	0.15	false
true	-1	0.60	false
true	1	0.61	true
false	16	-1.7976931348623158E308	true
false	2147483646	-1.7976931348623157E308 -1.7976931348623156E308	false
true	14	1.7976931348623156E308	true
true	-2147483649	0	false
true	-1	0.59	false
true	34	0.59	true
true	-1	0.15	true
false	0	1.7976931348623157E308	false
true	35	0	true
true	14	0.59	true
true	35	1.7976931348623156E308	true
false	2147483648	-1.7976931348623158E308	true
false	-2147483647	0.15	true
false	-2147483649	0.14	false
true	15	0	true
false	16	-1.7976931348623158E308	true
true	34	1.7976931348623156E308	false
true	-2147483648	0.60	true
true	-2147483649	1.7976931348623157E308	true
false	2147483646	0.15	true
false	-2147483648	0.15	true
true	14	-1.7976931348623158E308	true
true	0	0.59	true
true	-1	-1.7976931348623158E308	true
true	34	0.14	false
true	35	16	true
false	-2147483647	0	false
true	36	-1.7976931348623158E308	true
false	-2147483649	-1.7976931348623158E308	true
false	2147483646	-1.7976931348623158E308	true
false	16	1.7976931348623156E308	false
false	34	-1.7976931348623158E308	false
true	15	0.60	false
true	2147483646	0.59	false
true	2147483648	0	false
false	-2147483649	0.59	false
false	2147483648	0.61	false
